client_id,client,priority,state,recommended_owner,next_action,acceptance,source,source_date,jev_role,execution_state
deborah-mara,Deborah Mara,P1,Staging SEO fixes reported; inquiry delivery incomplete,Dillon / Beth / Muhammad,"Reuse noindex/title/H1 fixes; complete inquiry form and SMTP plan, brokerage/IDX requirements and exact analytics mapping",Authorized test reaches intended inbox; launch checklist and approved disclosures,https://momentum3d.slack.com/archives/C05UM2X3FQS,2026-09-14,Brief/evidence checks; no housing targeting decisions,DRAFT_REVIEW_ONLY
gt-clinic,GT Clinic,P1,Onboarding underway,Dillon / Jesse / Mac,"Map WordPress, GA4/GSC and booking ownership; validate consultation→Boulevard route and clinical copy approval","Exact property/account map, booked-consult receipt and clinician-approved content",https://momentum3d.slack.com/archives/C0C0RR57B25,2026-09-16,No patient/clinical eligibility scoring,DRAFT_REVIEW_ONLY
advanced-longevity-medicine,Advanced Longevity Medicine,P1,New channel; missing canonical registry route,Dillon / Sean,"Prepare separate onboarding record, first-payment evidence and Monday/Tuesday huddle brief","Payment receipt, scope and account mapping; do not merge with GT Clinic",https://momentum3d.slack.com/archives/C0BV7Q7KWHX,2026-09-18,Route/brief checks after identity confirmed,DRAFT_REVIEW_ONLY
capsule-and-tonic,Capsule & Tonic,P0,LIVE sheet mismatch corroborates Slack concern,Beth / Taj / Dillon,"Match Sep 2 and Sep 13 reported form conversions against Ads action definition, form storage, email and sheet; four later entries exist",Event-level reconciliation with explicit missing/duplicate/test outcomes,https://momentum3d.slack.com/archives/C04MB3ZQ7FT,2026-09-20,Classify sanitized failure type; code does counts,DRAFT_REVIEW_ONLY
everyday-life-insurance,Everyday Life Insurance,P2,Traffic interpretation and backlink proposal,Bella / Tiffany / account owner,Separate affiliate pause from channel loss; verify sitemap errors and traffic-quality hypotheses before backlink purchase,GSC/GA4 source evidence and owner-approved scope,https://momentum3d.slack.com/archives/C051QQL8UNS,2026-09-18,No insurance eligibility decisions,DRAFT_REVIEW_ONLY
look-alive,Look Alive,P1,Separate accessible account; mixed in Puttery discussion,Dillon / Jesse,Create proposed exact route for Ads 8637149345 and Tock/Toast/CMS ownership; do not inherit Puttery blockers,"Correct brand, approved scope, account and booking-receipt map",https://momentum3d.slack.com/archives/C0BT1P1PGJF,2026-09-17,Identity reconciliation first,DRAFT_REVIEW_ONLY
green-slate-masonry,Green Slate Masonry,P2,Prospect/client status unverified,Mac / account owner,Resolve signed/paid status before enrolling client workflows,Approved scope and actual client status,https://momentum3d.slack.com/archives/C08UWCW6PCH,2026-09-04,Pipeline only until verified,DRAFT_REVIEW_ONLY
comcast-partnership,Comcast partnership,P2,"Proposal / expected PO, not confirmed revenue",Mac / Dillon,"Package tiers around accepted deliverables, owner capacity and measured unit cost; reconcile final scope/PO",Signed scope/PO and delivery acceptance conditions,https://momentum3d.slack.com/archives/C0C1YNSHBQV,2026-09-18,Brief rubric; no revenue claim,DRAFT_REVIEW_ONLY
tri-state-window-and-siding,Tri State Window & Siding,P1,Rocco reports; ownership needs reconciliation,Account owner / Dillon review,Separate lead and traffic campaign objectives; do not shift to cheap clicks on an automated suggestion alone,"Native Meta metrics by objective, lead receipts and confirmed ownership",https://momentum3d.slack.com/archives/C0B463WJVA4,2026-09-20,Reporting checks first; no automatic pauses,DRAFT_REVIEW_ONLY
align-hcm,Align HCM,SEPARATE,Explicit separate portal/client,Dillon,Exclude from Momentum scope and keep portal 242825734 isolated,Separate user task and existing Align controls,registry/clients.json and CLIENT.md,2026-09-20,Excluded,DRAFT_REVIEW_ONLY
