priority,url,wp_id,wp_type,title,cluster,template,lane,moz_keywords,moz_best_rank,moz_best_keyword,moz_keyword_list,index_robots,follow_robots,in_sitemap,health_flags,deep_matrix,modified,yoast_title,seo,aeo,geo,client_template
P1,https://bigorange.marketing/7-figure-msp-it-services-marketing-agency/,2745,page,7 Figure MSP and IT Services Marketing Agency,msp-it,campaign-lander,untracked,0,,,,noindex,nofollow,False,published-not-in-sitemap|noindex,False,2023-08-11T20:03:48,7 Figure MSP and IT Marketing Services - BigOrange.Marketing,"Decide one job: index+follow+sitemap as a distinct offer, or noindex as a paid sink. Current nofollow-plus-missing-sitemap state isolates equity. Do not twin MSP hub /msp-it-services-marketing-agency/. No ranking, traffic, lead, or AI-citation promises.","If indexed: one H1, labeled Direct answer for the offer, five FAQs. If a sink: no schema theater.",Date the offer. No best-agency adjectives. Link to the real hub once.,"Client paid lander. Same binary: real page or true sink. Never index,nofollow."
P1,https://bigorange.marketing/ai-for-marketing-campaigns/,5177,post,10 Ways to Use AI for Marketing Campaign Success,ai-search,campaign-lander,untracked,0,,,,index,follow,True,,False,2026-05-10T21:03:51,10 Ways to Use AI for Marketing Campaign Success | Guide - BigOrange.Marketing,"Decide one job: index+follow+sitemap as a distinct offer, or noindex as a paid sink. Current nofollow-plus-missing-sitemap state isolates equity. Do not twin AI service page after H1/robots repair. No ranking, traffic, lead, or AI-citation promises.","If indexed: one H1, labeled Direct answer for the offer, five FAQs. If a sink: no schema theater.",Date the offer. No best-agency adjectives. Link to the real hub once.,"Client paid lander. Same binary: real page or true sink. Never index,nofollow."
P1,https://bigorange.marketing/ai-marketing-campaign/,4450,post,Leveraging ChatGPT: A 10-Step Guide to Crafting an Effective AI Marketing Campaign (In Just 45 Minutes!),ai-search,campaign-lander,untracked,0,,,,index,follow,True,,False,2026-05-10T21:03:52,Leveraging ChatGPT: Guide to an Effective AI Marketing Campaign - BigOrange.Marketing,"Decide one job: index+follow+sitemap as a distinct offer, or noindex as a paid sink. Current nofollow-plus-missing-sitemap state isolates equity. Do not twin AI service page after H1/robots repair. No ranking, traffic, lead, or AI-citation promises.","If indexed: one H1, labeled Direct answer for the offer, five FAQs. If a sink: no schema theater.",Date the offer. No best-agency adjectives. Link to the real hub once.,"Client paid lander. Same binary: real page or true sink. Never index,nofollow."
P1,https://bigorange.marketing/digital-marketing-campaign-solutions/,5128,page,Digital Marketing Campaign Solutions,other,campaign-lander,untracked,0,,,,index,nofollow,True,index-nofollow,False,2026-06-11T17:11:29,Digital Marketing Campaign Solutions - BigOrange.Marketing,"Decide one job: index+follow+sitemap as a distinct offer, or noindex as a paid sink. Current nofollow-plus-missing-sitemap state isolates equity. Do not twin nearest vertical hub or the homepage router. No ranking, traffic, lead, or AI-citation promises.","If indexed: one H1, labeled Direct answer for the offer, five FAQs. If a sink: no schema theater.",Date the offer. No best-agency adjectives. Link to the real hub once.,"Client paid lander. Same binary: real page or true sink. Never index,nofollow."
P1,https://bigorange.marketing/event-campaign-marketing/,4209,post,How Your Marketing Agency Can Help With Event Campaign Marketing,other,campaign-lander,untracked,0,,,,index,follow,True,,False,2024-03-11T11:21:07,Event Campaign Marketing: Your Agency Can Help - BigOrange.Marketing,"Decide one job: index+follow+sitemap as a distinct offer, or noindex as a paid sink. Current nofollow-plus-missing-sitemap state isolates equity. Do not twin nearest vertical hub or the homepage router. No ranking, traffic, lead, or AI-citation promises.","If indexed: one H1, labeled Direct answer for the offer, five FAQs. If a sink: no schema theater.",Date the offer. No best-agency adjectives. Link to the real hub once.,"Client paid lander. Same binary: real page or true sink. Never index,nofollow."
P1,https://bigorange.marketing/home-builder-marketing-agency/,5156,post,Why Chris Gorman Homes Chose BigOrange as Their Home Builder Marketing Agency,home-builder,deep-matrix-owner,builder-satellite,0,,,,index,follow,True,,True,2025-10-24T14:17:18,Why Choose a Home Builder Marketing Agency - BigOrange.Marketing,Zero keywords but P1 slug collision with hub. Reslug to the Chris Gorman case or 301 to hub. Yoast Why Choose a Home Builder Marketing Agency is a hub title — change it.,Answer: this is a named-client case not the service hub. 5 FAQs. Speakable: Why did Chris Gorman Homes hire BigOrange?,Client name/results need permission. Current results language unsourced. Demo pair for Sept 3.,Named-client case that must never reuse the hub slug
P1,https://bigorange.marketing/how-is-a-storybrand-brandscript-used/,4358,post,How Is a StoryBrand Brandscript Used?,storybrand,deep-matrix-owner,rest-of-site,1,8,How is a StoryBrand BrandScript Used?,How is a StoryBrand BrandScript Used?,index,follow,True,,True,2024-06-06T11:35:09,How is a StoryBrand BrandScript Used? - BigOrange.Marketing,Declining -6 both engines. Keep usage job; definition/examples stay on BrandScript URL. Add decision table BrandScript to website/ads/deck/email.,Answer: how a BrandScript is used after it exists. 5 FAQs. Speakable: How is a StoryBrand BrandScript used?,Approved before/after copy pair. Remove storytelling-increases-leads meta.,How-to sibling of a definition page
P1,https://bigorange.marketing/how-to-use-hubspot-for-msps/,3067,post,How to Use Hubspot for MSPs,msp-it,deep-matrix-owner,rest-of-site,1,4,Hubspot for MSPs,Hubspot for MSPs,index,follow,True,,True,2023-04-04T20:46:58,How to Use Hubspot for MSPs - BigOrange Marketing,Keep for MSPs in H1. Fix HubSpot spelling. Refresh 2023 body. hubspot cincinnati is not this job. CRM implementation belongs on the HubSpot services page.,Answer: how MSPs use HubSpot. Define vs PSA/RMM. 5 FAQs. Speakable: How do MSPs use HubSpot?,HubSpot is a third-party product. Date object names. Labeled MSP portal pattern only.,Platform x vertical how-to
P1,https://bigorange.marketing/is-it-worth-it-to-become-a-storybrand-guide/,4335,post,Is It Worth It to Become a StoryBrand Guide?,storybrand,deep-matrix-owner,rest-of-site,1,7,Is it Worth It to Become a StoryBrand Guide?,Is it Worth It to Become a StoryBrand Guide?,index,follow,True,,True,2024-10-31T14:38:46,Is It Worth It to Become a StoryBrand Guide? - BigOrange.Marketing,Career/certification job only. Do not retitle toward Certified Agency. Link cost page for buyers.,Answer: becoming a Guide vs hiring one. 5 FAQs. Speakable: Is it worth it to become a StoryBrand Guide?,Named BOM guides only if public and current. No income promises.,Credential/career explainer separate from hire page
P1,https://bigorange.marketing/is-storybrand-free/,4356,post,Is StoryBrand Free?,storybrand,deep-matrix-owner,rest-of-site,1,8,Is StoryBrand Free?,Is StoryBrand Free?,index,follow,True,,True,2024-06-05T13:54:53,Is StoryBrand Free? - BigOrange.Marketing,Only URL whose H1 is the free question. Heal desktop split with cost page. Decide fate of /storybrand-framework/ (zero snapshot keywords).,Answer yes/no with book vs paid guide nuance in first 40 words. 5 FAQs. Speakable: Is StoryBrand free?,Attribute book/official site. BOM is optional implementer. No must-hire implication.,Free-vs-paid methodology explainer
P1,https://bigorange.marketing/marketing-agency-referral-program/,5129,page,Marketing Agency Referral Program,other,commercial-or-utility-page,untracked,0,,,,index,nofollow,True,index-nofollow,False,2026-03-25T08:37:23,Marketing Agency Referral Program - BigOrange.Marketing,"One commercial job. One H1. Index,follow if it is a real service; noindex if utility. Do not split nearest vertical hub or the homepage router. No ranking, traffic, lead, or AI-citation promises.",Direct answer for the sold service. Definition vs adjacent offer. Five FAQs. Speakable question matches the H1 job.,Entity + service area + last reviewed date. Experience callouts only from approved cases.,Client service or booking page. One URL per sold offer.
P1,https://bigorange.marketing/marketing-campaign-how-long-to-work/,3977,post,How Long Does an Inbound Marketing Campaign Take to Work?,other,campaign-lander,untracked,0,,,,index,follow,True,,False,2024-11-05T11:38:31,How Fast Can an Inbound Marketing Campaign Work? - BigOrange.Marketing,"Decide one job: index+follow+sitemap as a distinct offer, or noindex as a paid sink. Current nofollow-plus-missing-sitemap state isolates equity. Do not twin nearest vertical hub or the homepage router. No ranking, traffic, lead, or AI-citation promises.","If indexed: one H1, labeled Direct answer for the offer, five FAQs. If a sink: no schema theater.",Date the offer. No best-agency adjectives. Link to the real hub once.,"Client paid lander. Same binary: real page or true sink. Never index,nofollow."
P1,https://bigorange.marketing/marketing-campaigns-that-work-for-it-companies/,5253,post,5 Marketing Campaigns That Work for IT Companies,msp-it,campaign-lander,untracked,0,,,,index,follow,True,,False,2026-02-10T14:05:44,5 Marketing Campaigns That Work for IT Companies - BigOrange.Marketing,"Decide one job: index+follow+sitemap as a distinct offer, or noindex as a paid sink. Current nofollow-plus-missing-sitemap state isolates equity. Do not twin MSP hub /msp-it-services-marketing-agency/. No ranking, traffic, lead, or AI-citation promises.","If indexed: one H1, labeled Direct answer for the offer, five FAQs. If a sink: no schema theater.",Date the offer. No best-agency adjectives. Link to the real hub once.,"Client paid lander. Same binary: real page or true sink. Never index,nofollow."
P1,https://bigorange.marketing/meet-bigorange-at-7-figure-msp-event/,3426,post,MSPs: Ready to Amp Up? Meet BigOrange at the Nashville 7-Figure MSP Event,msp-it,campaign-lander,untracked,0,,,,index,follow,True,,False,2023-04-17T03:30:07,Meet BigOrange at Nashville 7-Figure MSP Event - BigOrange.Marketing,"Decide one job: index+follow+sitemap as a distinct offer, or noindex as a paid sink. Current nofollow-plus-missing-sitemap state isolates equity. Do not twin MSP hub /msp-it-services-marketing-agency/. No ranking, traffic, lead, or AI-citation promises.","If indexed: one H1, labeled Direct answer for the offer, five FAQs. If a sink: no schema theater.",Date the offer. No best-agency adjectives. Link to the real hub once.,"Client paid lander. Same binary: real page or true sink. Never index,nofollow."
P1,https://bigorange.marketing/msp-lead-generation/,5076,post,Better Together: MSP Lead Generation and StoryBrand Websites,msp-it,deep-matrix-owner,rest-of-site,2,2,StoryBrand MSP Website,StoryBrand MSP Website|MSP storybrand websites,index,follow,True,,True,2025-08-05T10:49:50,MSP Lead Generation and StoryBrand Websites - BigOrange.Marketing,Slug is lead-gen but Moz ranks StoryBrand MSP website terms (2/3). Retitle toward lead-gen; move gallery job to examples URL. Attach unranked MSP Lead Generation (51-100). Review sibling /msp-lead-generation-marketing-strategies/.,Answer: what MSP lead generation is. Define qualified lead vs form fill. 5 FAQs. Speakable: What is MSP lead generation?,No lead-volume promises. One approved pipeline story. Website examples are a different URL.,Demand-gen article that is not a second gallery
P1,https://bigorange.marketing/msp-marketing-book/,4848,page,MSP Marketing Book,msp-it,campaign-lander,untracked,0,,,,noindex,nofollow,False,published-not-in-sitemap|noindex,False,2025-03-25T12:12:12,MSP Marketing Book - BigOrange.Marketing,"Decide one job: index+follow+sitemap as a distinct offer, or noindex as a paid sink. Current nofollow-plus-missing-sitemap state isolates equity. Do not twin MSP hub /msp-it-services-marketing-agency/. No ranking, traffic, lead, or AI-citation promises.","If indexed: one H1, labeled Direct answer for the offer, five FAQs. If a sink: no schema theater.",Date the offer. No best-agency adjectives. Link to the real hub once.,"Client paid lander. Same binary: real page or true sink. Never index,nofollow."
P1,https://bigorange.marketing/msp-marketing-campaign/,4545,page,Builder and MSP Marketing Campaign Solutions,msp-it,campaign-lander,untracked,0,,,,noindex,nofollow,False,published-not-in-sitemap|noindex,False,2026-02-04T10:21:55,Builder and MSP Marketing Campaign Solutions - BigOrange.Marketing,"Decide one job: index+follow+sitemap as a distinct offer, or noindex as a paid sink. Current nofollow-plus-missing-sitemap state isolates equity. Do not twin MSP hub /msp-it-services-marketing-agency/. No ranking, traffic, lead, or AI-citation promises.","If indexed: one H1, labeled Direct answer for the offer, five FAQs. If a sink: no schema theater.",Date the offer. No best-agency adjectives. Link to the real hub once.,"Client paid lander. Same binary: real page or true sink. Never index,nofollow."
P1,https://bigorange.marketing/msp-marketing-resources/,2336,page,MSP Marketing Resource,msp-it,deep-matrix-owner,rest-of-site,13,5,msp marketing resources,msp marketing resources|msp advertising|msp marketing ideas|msp marketing tools|msp resources|marketing msp|msp marketing kit|marketing strategy for msp|What is MSP marketing?|msp marketing|what is msp marketing|marketing for msps|How-to Guide for MSP Marketing,index,follow,True,,True,2026-01-15T12:41:58,MSP Marketing Resources - 21 Things You Must Do- BigOrange.Marketing,Largest rest-of-site stack. Keep library+definition; one H2 What is MSP marketing for engine-split strings. Fix 21 Things title/spacing. Confirmation URL stays noindex. Assign managed services provider marketing (501-850) here.,Answer+definition box for MSP marketing. 5 FAQs on kit/ads/library vs agency. Speakable: What is MSP marketing?,Date every list item. Kill expired tools. BOM checklists over scraped tools. Commercial close to MSP hub.,Vertical resource pillar
P1,https://bigorange.marketing/revenue-engine-campaign/,4929,page,LP Lead Gen Revenue Engine,other,campaign-lander,untracked,0,,,,noindex,nofollow,False,published-not-in-sitemap|noindex,False,2025-06-27T11:24:42,Grow: A Turbo-Charged Lead-Gen Revenue Engine - BigOrange.Marketing,"Decide one job: index+follow+sitemap as a distinct offer, or noindex as a paid sink. Current nofollow-plus-missing-sitemap state isolates equity. Do not twin nearest vertical hub or the homepage router. No ranking, traffic, lead, or AI-citation promises.","If indexed: one H1, labeled Direct answer for the offer, five FAQs. If a sink: no schema theater.",Date the offer. No best-agency adjectives. Link to the real hub once.,"Client paid lander. Same binary: real page or true sink. Never index,nofollow."
P1,https://bigorange.marketing/storybrand-brandscript-examples/,3470,post,StoryBrand BrandScript Examples: How to Ignite Your Marketing Efforts,storybrand,deep-matrix-owner,rest-of-site,3,7,StoryBrand BrandScript,StoryBrand BrandScript|storybrand company example|What is a StoryBrand BrandScript?,index,follow,True,,True,2025-07-07T16:17:43,StoryBrand BrandScript Examples - BigOrange.Marketing,Own StoryBrand BrandScript (7 vol 101-200) and what-is (13 declining). Recover example terms from hero page. H1 = BrandScript not ignite.,Answer+definition: what a BrandScript is + examples. 5 FAQs. Speakable: What is a StoryBrand BrandScript?,Permission for real excerpts; mark fiction. One redacted real script beats generic copy.,Named artifact + examples
P1,https://bigorange.marketing/storybrand-certified-guide-cost/,5298,post,How Much Does It Cost to Work With a StoryBrand Certified Guide?,storybrand,deep-matrix-owner,rest-of-site,3,4,StoryBrand Certified Agency,StoryBrand Certified Agency|storybrand certified guide|Is StoryBrand Free?,index,follow,True,,True,2026-04-01T14:20:05,How Much Does a StoryBrand Certified Guide Cost? - BigOrange.Marketing,Own cost/certified agency/guide. Stop ranking Is StoryBrand Free on desktop (split with /is-storybrand-free/). Link free page once do not H2 the free question.,Answer: what hiring a certified guide costs/includes. Define Guide vs Agency vs book. 5 FAQs. Speakable: How much does a StoryBrand Certified Guide cost?,State current certification only if true. Dated scope table. Dollars need approved offer. No income/rank promises.,Pricing/scope explainer for a certified method
P1,https://bigorange.marketing/storybrand-website-checklist-does-your-website-pass-the-test/,2425,post,StoryBrand Website Checklist: Does Your Website Pass The Test?,storybrand,deep-matrix-owner,rest-of-site,3,5,StoryBrand Website Checklist,StoryBrand Website Checklist|storybrand checklist|storybrand marketing checklist,index,follow,True,,True,2023-04-30T20:47:31,StoryBrand Website Checklist - BigOrange.Marketing,Own checklist terms only. Refresh 2023 checklist vs current section names. Visible review date.,Answer: pass/fail StoryBrand website checklist. Define vs BrandScript vs design QA. 5 FAQs. Speakable: What is a StoryBrand website checklist?,Filled approved example beats empty list. Attribute framework terms. Builder WEB-01 is the clone.,QA checklist article
P1,https://bigorange.marketing/top-digital-marketing-agency-2/,4796,page,LP Top Digital Marketing Agency for MSPs DRAFT,msp-it,campaign-lander,untracked,0,,,,noindex,nofollow,False,published-not-in-sitemap|noindex,False,2026-02-26T23:07:06,Top Digital Marketing Agency for MSPs - BigOrange.Marketing,"Decide one job: index+follow+sitemap as a distinct offer, or noindex as a paid sink. Current nofollow-plus-missing-sitemap state isolates equity. Do not twin MSP hub /msp-it-services-marketing-agency/. No ranking, traffic, lead, or AI-citation promises.","If indexed: one H1, labeled Direct answer for the offer, five FAQs. If a sink: no schema theater.",Date the offer. No best-agency adjectives. Link to the real hub once.,"Client paid lander. Same binary: real page or true sink. Never index,nofollow."
P1,https://bigorange.marketing/top-digital-marketing-agency-msp/,4809,page,LP Top Digital Marketing Agency for MSPs Challenger,msp-it,campaign-lander,untracked,0,,,,noindex,nofollow,False,published-not-in-sitemap|noindex,False,2025-06-19T12:37:28,Top Digital Marketing Agency for MSPs - BigOrange.Marketing,"Decide one job: index+follow+sitemap as a distinct offer, or noindex as a paid sink. Current nofollow-plus-missing-sitemap state isolates equity. Do not twin MSP hub /msp-it-services-marketing-agency/. No ranking, traffic, lead, or AI-citation promises.","If indexed: one H1, labeled Direct answer for the offer, five FAQs. If a sink: no schema theater.",Date the offer. No best-agency adjectives. Link to the real hub once.,"Client paid lander. Same binary: real page or true sink. Never index,nofollow."
P1,https://bigorange.marketing/top-digital-marketing-agency/,3352,page,LP Top Digital Marketing Agency for MSPs LIVE,msp-it,campaign-lander,untracked,0,,,,noindex,nofollow,False,published-not-in-sitemap|noindex,False,2025-06-19T12:37:44,Top Digital Marketing Agency for MSPs - BigOrange.Marketing,"Decide one job: index+follow+sitemap as a distinct offer, or noindex as a paid sink. Current nofollow-plus-missing-sitemap state isolates equity. Do not twin MSP hub /msp-it-services-marketing-agency/. No ranking, traffic, lead, or AI-citation promises.","If indexed: one H1, labeled Direct answer for the offer, five FAQs. If a sink: no schema theater.",Date the offer. No best-agency adjectives. Link to the real hub once.,"Client paid lander. Same binary: real page or true sink. Never index,nofollow."
P1,https://bigorange.marketing/top-manufacturing-marketing-agency-2/,4002,page,LP Top Digital Marketing Agency for Manufacturing,manufacturing,campaign-lander,untracked,0,,,,noindex,nofollow,False,published-not-in-sitemap|noindex,False,2026-08-20T12:38:10,Top Digital Marketing Agency for Manufacturing Firms - BigOrange.Marketing,"Decide one job: index+follow+sitemap as a distinct offer, or noindex as a paid sink. Current nofollow-plus-missing-sitemap state isolates equity. Do not twin manufacturing hub, not a second examples page. No ranking, traffic, lead, or AI-citation promises.","If indexed: one H1, labeled Direct answer for the offer, five FAQs. If a sink: no schema theater.",Date the offer. No best-agency adjectives. Link to the real hub once.,"Client paid lander. Same binary: real page or true sink. Never index,nofollow."
P1,https://bigorange.marketing/top-msp-marketing-agencies/,5345,post,The Top MSP Marketing Agencies in 2026,msp-it,deep-matrix-owner,rest-of-site,1,17,msp marketing company,msp marketing company,index,follow,True,,True,2026-06-30T18:13:31,The Top 10 MSP Marketing Agencies in 2026 - BigOrange.Marketing,Comparison only. Must not H1 msp marketing company (engine split). Disclose Top 10 method or drop Top 10. Same criteria for BOM as others.,Answer: how the comparison is built not a paid ranking. 5 FAQs including paid-placement honesty. Speakable: How should an MSP compare marketing agencies?,Method+date+outbound links required. Firsthand notes only on firms actually encountered. No we-are-number-one.,Disclosed-method comparison (clone carefully)
P1,https://bigorange.marketing/top-social-media-marketing-and-paid-campaign-firm/,2605,page,Top Social Media Marketing and Paid Campaign Firm,other,campaign-lander,untracked,0,,,,index,follow,True,,False,2024-02-01T23:19:07,Social Media Marketing and Paid Campaign Firm- BigOrange.Marketing,"Decide one job: index+follow+sitemap as a distinct offer, or noindex as a paid sink. Current nofollow-plus-missing-sitemap state isolates equity. Do not twin nearest vertical hub or the homepage router. No ranking, traffic, lead, or AI-citation promises.","If indexed: one H1, labeled Direct answer for the offer, five FAQs. If a sink: no schema theater.",Date the offer. No best-agency adjectives. Link to the real hub once.,"Client paid lander. Same binary: real page or true sink. Never index,nofollow."
P1,https://bigorange.marketing/top-website-design-for-msps/,4825,page,LP Website Design for MSPs Challenger,msp-it,campaign-lander,untracked,0,,,,noindex,nofollow,False,published-not-in-sitemap|noindex,False,2025-06-19T12:36:49,Website Design for MSPs - BigOrange.Marketing,"Decide one job: index+follow+sitemap as a distinct offer, or noindex as a paid sink. Current nofollow-plus-missing-sitemap state isolates equity. Do not twin MSP hub /msp-it-services-marketing-agency/. No ranking, traffic, lead, or AI-citation promises.","If indexed: one H1, labeled Direct answer for the offer, five FAQs. If a sink: no schema theater.",Date the offer. No best-agency adjectives. Link to the real hub once.,"Client paid lander. Same binary: real page or true sink. Never index,nofollow."
