url,lane,cluster,keywords_owned,best_rank,seo,aeo,geo,priority,client_template
https://bigorange.marketing/how-to-use-hubspot-for-msps/,rest-of-site,msp-it,1,4,"Keep for MSPs in H1. Fix HubSpot spelling. Refresh 2023 body. hubspot cincinnati is not this job. CRM implementation belongs on the HubSpot services page.","Answer: how MSPs use HubSpot. Define vs PSA/RMM. 5 FAQs. Speakable: How do MSPs use HubSpot?","HubSpot is a third-party product. Date object names. Labeled MSP portal pattern only.",P1,Platform x vertical how-to
https://bigorange.marketing/how-is-a-storybrand-brandscript-used/,rest-of-site,storybrand,1,8,"Declining -6 both engines. Keep usage job; definition/examples stay on BrandScript URL. Add decision table BrandScript to website/ads/deck/email.","Answer: how a BrandScript is used after it exists. 5 FAQs. Speakable: How is a StoryBrand BrandScript used?","Approved before/after copy pair. Remove storytelling-increases-leads meta.",P1,How-to sibling of a definition page
https://bigorange.marketing/is-it-worth-it-to-become-a-storybrand-guide/,rest-of-site,storybrand,1,7,"Career/certification job only. Do not retitle toward Certified Agency. Link cost page for buyers.","Answer: becoming a Guide vs hiring one. 5 FAQs. Speakable: Is it worth it to become a StoryBrand Guide?","Named BOM guides only if public and current. No income promises.",P1,Credential/career explainer separate from hire page
https://bigorange.marketing/is-storybrand-free/,rest-of-site,storybrand,1,8,"Only URL whose H1 is the free question. Heal desktop split with cost page. Decide fate of /storybrand-framework/ (zero snapshot keywords).","Answer yes/no with book vs paid guide nuance in first 40 words. 5 FAQs. Speakable: Is StoryBrand free?","Attribute book/official site. BOM is optional implementer. No must-hire implication.",P1,Free-vs-paid methodology explainer
https://bigorange.marketing/what-are-the-7-steps-of-storybrand/,rest-of-site,storybrand,1,8,"Desktop dropped (>-13). Put seven named steps above the fold. Candidate owner for StoryBrand Framework (201-500) vs /storybrand-framework/ vs purpose page — pick one.","Answer: the seven steps. Define framework vs process plan. 5 FAQs. Speakable: What are the 7 steps of StoryBrand?","Official step names. One annotated homepage map. No ranking promises.",P1,Numbered framework article
https://bigorange.marketing/7-awesome-msp-story-based-website-examples-to-inspire-you/,rest-of-site,msp-it,1,11,"Own MSP website examples (11) and unranked msp website (201-500). Drop Awesome; decide webinar vs evergreen. Review duplicate /7-awesome-msp-storybrand-examples-to-inspire-your-new-website/.","Answer+definition: what an MSP website is. 5 FAQs. Speakable: What is an MSP website?","Label BOM vs inspiration. Remove converts-to-leads meta. Lead-gen URL is not the gallery.",P1,Vertical website gallery plus naked {vertical} website query
https://bigorange.marketing/what-is-digital-marketing-for-msps/,rest-of-site,msp-it,1,13,"Own question (13) and unranked digital marketing for msps (51-100) via opening phrase. Keep digital+MSP; do not steal it marketing or msp marketing.","Answer: digital marketing for MSPs. 5 FAQs. Speakable: What is digital marketing for MSPs?","Date channel advice. Finish the truncated meta. No ranking promises.",P1,Digital marketing for {vertical} definition
https://bigorange.marketing/top-msp-marketing-agencies/,rest-of-site,msp-it,1,17,"Comparison only. Must not H1 msp marketing company (engine split). Disclose Top 10 method or drop Top 10. Same criteria for BOM as others.","Answer: how the comparison is built not a paid ranking. 5 FAQs including paid-placement honesty. Speakable: How should an MSP compare marketing agencies?","Method+date+outbound links required. Firsthand notes only on firms actually encountered. No we-are-number-one.",P1,Disclosed-method comparison (clone carefully)
https://bigorange.marketing/website-design-and-storybrand-seo-services/,commercial-zero,storybrand,0,,"Zero Moz keywords. Remove Top from H1 and Rank higher from meta. Own storybrand marketing commercial side. Collapse nofollow MSP website campaign twins.","Answer: StoryBrand website design + SEO as a service. Define vs AEO. 5 FAQs including no AI-citation promise. Speakable: What is StoryBrand website design and SEO?","Link checklist/examples as method evidence. H1 Top Company is the GEO fail. No ranking promises.",P1,Methodology commercial page
https://bigorange.marketing/home-builder-marketing-agency/,builder-satellite,home-builder,0,,"Zero keywords but P1 slug collision with hub. Reslug to the Chris Gorman case or 301 to hub. Yoast Why Choose a Home Builder Marketing Agency is a hub title — change it.","Answer: this is a named-client case not the service hub. 5 FAQs. Speakable: Why did Chris Gorman Homes hire BigOrange?","Client name/results need permission. Current results language unsourced. Demo pair for Sept 3.",P1,Named-client case that must never reuse the hub slug
https://bigorange.marketing/not-lose-seo-when-moving-offices/,rest-of-site,other,1,1,"Protect odd-phrase position-1 (vol 0-10). Grammatical H1 + tracked H2. Do not expand into Cincinnati agency play. Rewrite retain-rankings meta.","Answer: local SEO checklist for an office move. 5 FAQs. Speakable: How do you not lose SEO when moving offices?","GBP help dated. Client move labeled with permission. Current meta is a ranking claim — remove.",P2,Narrow operational checklist + one story
https://bigorange.marketing/how-to-create-storybrand-sales-funnel/,rest-of-site,storybrand,1,6,"Refresh 2022 body. One evergreen owner vs webinar sibling. Keep funnel job off BrandScript/examples URLs.","Answer: StoryBrand sales funnel how-to. 5 FAQs. Speakable: How do you create a StoryBrand sales funnel?","One approved funnel map. No conversion rates. Soften create-opportunities meta.",P2,Funnel how-to tied to a messaging system
https://bigorange.marketing/what-is-the-purpose-of-storybrand/,rest-of-site,storybrand,1,12,"Purpose job only (12 declining). Alternate owner for StoryBrand Framework if 7-steps stays numbered-only. Keep H1 distinct from steps/process.","Answer: purpose of StoryBrand. 5 FAQs. Speakable: What is the purpose of StoryBrand?","Official purpose language. Why BOM uses it labeled. Short page.",P2,Purpose/philosophy page for a named framework
https://bigorange.marketing/top-performing-marketing-content-for-it-services/,rest-of-site,msp-it,1,15,"Content-types job not IT marketing H1. Rewrite content-is-king meta. Attach unranked IT/MSP content-marketing variants or give them to resources — one owner.","Answer: content types for IT services. 5 FAQs. Speakable: What marketing content works for IT services?","Top performing needs a dated method or becomes recommended types. Pair with definition URL. Same shape as builder ART-02.",P2,Content-type inventory for a vertical
https://bigorange.marketing/google-ads-for-manufacturing-firms/,rest-of-site,manufacturing,1,16,"Paid-search sibling only (16 declining). Do not absorb marketing for manufacturers. Drop bang-for-your-buck. Do not unblock builder PPC-01 from this article.","Answer: Google Ads for manufacturing as practice list not spend advice. 5 FAQs. Speakable: How should manufacturers use Google Ads?","No ROAS/lead claims. Google docs dated. Live paid management only if current authority exists.",P2,Channel x vertical article that is not the hub
https://bigorange.marketing/book-appointment/,commercial-zero,other,0,,"Fix Squeze typo. One booking URL for the site. Do not target head terms. thanks-for-booking stays noindex. Reciprocal links to vertical hubs.","Answer: how to book a conversation. 5 FAQs on what the call is. Speakable: How do I book a conversation with BigOrange Marketing?","Offer terms must be current. No testimonial schema without visible approved testimonials. No ranking promises.",P2,Single sitewide booking URL
https://bigorange.marketing/lean-in-homebuilders-and-coronovirus-impacts-what-to-do-now/,builder-satellite,home-builder,0,,"2020 archive; slug misspells coronavirus. Do not chase marketing ideas for homebuilders here. Banner or noindex. New ideas article if that term is assigned.","If indexable: dated archive answer pointing to hub. Else no speakable.","Historical voice only. Crisis posts are not proof. Teach clients to banner/noindex.",P2,Dated crisis post (archive not retarget)
https://bigorange.marketing/marketing-for-homebuilders-traffic-boost/,builder-satellite,home-builder,0,,"Case not hub. Change Yoast Marketing for Homebuilders: Web Traffic Surge. Require analytics window if increased traffic stays.","Answer: one luxury-builder traffic case. Define traffic vs qualified conversation. 5 FAQs. Speakable: What happened in BigOrange luxury-builder traffic case?","Do not call raw traffic a result (ART-02 rule). Soften if unsourced.",P2,Honest traffic/analytics case
https://bigorange.marketing/custom-home-builder-logos/,builder-satellite,home-builder,0,,"Logo/brand case. $1.5M lead in one month needs evidence+permission or comes out. Slug may own logos job if body teaches it.","Answer: logos + StoryBrand site case. Define logo vs site vs retainer. 5 FAQs including is this typical=no. Speakable: How do custom home builder logos fit a StoryBrand website?","Hard-number permission rule. Delete the number if unsourced.",P2,Brand/logo case with a gated hard number
https://bigorange.marketing/home-builder-marketing-company-success/,builder-satellite,home-builder,0,,"HOMEARAMA 2022 recap. Retitle away from Home Builder Marketing Company (hub ranks that term at 2). Janice/permission gate on outcomes.","Answer: 2022 event recap not a company definition. 5 FAQs. Speakable: What did BigOrange do for HOMEARAMA 2022?","Event is third-party. Outcomes gated. Do not steal the commercial noun phrase.",P2,Flagship event recap
https://bigorange.marketing/dayton-homearama-2021-home-builder-marketing/,builder-satellite,home-builder,0,,"Fix Yoast title Home builder marketing (hub collision). Keep 2021/Dayton/Union Village in the title tag. Same Homearama permission rules.","Answer: 2021 Union Village case. 5 FAQs. Speakable: What was BigOrange 2021 Homearama case?","Year and place required in title. Outcomes gated. Meta success is unsourced.",P2,Year-stamped regional case
https://bigorange.marketing/case-study-home-builder-connects-with-leads-for-a-new-development/,builder-satellite,home-builder,0,,"Development-launch case. $10 Million / exceed lead goals needs evidence+permission or removal. Do not retitle as agency.","Answer: new-development marketing case. Define development vs custom one-off. 5 FAQs including typical=no. Speakable: How did BigOrange market a new home development?","Define what the dollar figure is (volume vs pipeline vs one home). Cincinnati luxury builder named only with permission.",P2,Project-launch case
https://bigorange.marketing/home-builder-website-development/,builder-satellite,home-builder,0,,"Website launch case. Do not duplicate future WEB-01 / ART-01. Rewrite attract qualified leads meta. Distinct from hub and from diagnostic article.","Answer: launch case not diagnostic not hub. 5 FAQs. Speakable: What is in BigOrange home builder website development case?","Launch date visible. Point to reconciled ART-01 for the miss-qualified-buyers job. No lead promises.",P2,Website launch case beside diagnostic + hub
