client,work_type,claim,evidence_type,evidence_source,metric,metric_value,date_range,verified_status,strength
bar-crawl-usa,organic SEO,organic clicks grew +83% year over year,measured,"Google Search Console Search Analytics API, pulled 2026-09-15",organic clicks,1254 -> 2300 (+83%),Aug 2025 vs Aug 2026,"verified, matched calendar months, full baseline",strong
bar-crawl-usa,organic SEO,impressions grew +34% year over year,measured,"Google Search Console Search Analytics API, pulled 2026-09-15",impressions,52666 -> 70567 (+34%),Aug 2025 vs Aug 2026,"verified, matched calendar months, full baseline",strong
bar-crawl-usa,organic SEO,average position improved 6.6 places,measured,"Google Search Console Search Analytics API, pulled 2026-09-15",avg position,18.6 -> 12.0,Aug 2025 vs Aug 2026,verified,strong
align-hcm,organic SEO,holds position 1 on a 170 a month term,measured,"Third party search index via marketing platform MCP, US, 2026-09-15",best keyword by volume at position 3 or better,align hcm | pos 1 | 170/mo,September 2026 snapshot,"third party estimate of position, not measured from the client property",medium
align-hcm,organic SEO,3 keywords at position 3 or better,measured,"Third party search index via marketing platform MCP, US, 2026-09-15",keywords in top 3,3,September 2026 snapshot,third party estimate,medium
bigorange-marketing,organic SEO,"259 keywords improved position year over year, mostly from 80-150 into the 10-25 range at zero clicks",measured,"Google Search Console Search Analytics API, pulled 2026-09-15",keywords improved >=3 places,259,Aug 2025 vs Aug 2026,verified,medium
fresh-blends-kwik-trip,organic SEO,"holds position 1 on a 2,400 a month term",measured,"Third party search index via marketing platform MCP, US, 2026-09-15",best keyword by volume at position 3 or better,"fresh blends | pos 1 | 2,400/mo",September 2026 snapshot,"third party estimate of position, not measured from the client property",medium
fresh-blends-kwik-trip,organic SEO,24 keywords at position 3 or better,measured,"Third party search index via marketing platform MCP, US, 2026-09-15",keywords in top 3,24,September 2026 snapshot,third party estimate,medium
hope-wellness-center,organic SEO,"holds position 1 on a 1,300 a month term",measured,"Third party search index via marketing platform MCP, US, 2026-09-15",best keyword by volume at position 3 or better,"hope wellness center | pos 1 | 1,300/mo",September 2026 snapshot,"third party estimate of position, not measured from the client property",medium
hope-wellness-center,organic SEO,10 keywords at position 3 or better,measured,"Third party search index via marketing platform MCP, US, 2026-09-15",keywords in top 3,10,September 2026 snapshot,third party estimate,medium
kimberly-james-bridal,organic SEO,holds position 1 on a 880 a month term,measured,"Third party search index via marketing platform MCP, US, 2026-09-15",best keyword by volume at position 3 or better,kimberly james bridal | pos 1 | 880/mo,September 2026 snapshot,"third party estimate of position, not measured from the client property",medium
kimberly-james-bridal,organic SEO,3 keywords at position 3 or better,measured,"Third party search index via marketing platform MCP, US, 2026-09-15",keywords in top 3,3,September 2026 snapshot,third party estimate,medium
momentum-360,organic SEO,holds position 1 on a 880 a month term,measured,"Third party search index via marketing platform MCP, US, 2026-09-15",best keyword by volume at position 3 or better,momentum 360 | pos 1 | 880/mo,September 2026 snapshot,"third party estimate of position, not measured from the client property",medium
momentum-360,organic SEO,36 keywords at position 3 or better,measured,"Third party search index via marketing platform MCP, US, 2026-09-15",keywords in top 3,36,September 2026 snapshot,third party estimate,medium
nkcdc,organic SEO,"holds position 3 on a 14,800 a month term",measured,"Third party search index via marketing platform MCP, US, 2026-09-15",best keyword by volume at position 3 or better,"new kensington | pos 3 | 14,800/mo",September 2026 snapshot,"third party estimate of position, not measured from the client property",medium
nkcdc,organic SEO,114 keywords at position 3 or better,measured,"Third party search index via marketing platform MCP, US, 2026-09-15",keywords in top 3,114,September 2026 snapshot,third party estimate,medium
replenish-7-eleven,organic SEO,holds position 2 on a 140 a month term,measured,"Third party search index via marketing platform MCP, US, 2026-09-15",best keyword by volume at position 3 or better,replenish shakes | pos 2 | 140/mo,September 2026 snapshot,"third party estimate of position, not measured from the client property",medium
replenish-7-eleven,organic SEO,1 keywords at position 3 or better,measured,"Third party search index via marketing platform MCP, US, 2026-09-15",keywords in top 3,1,September 2026 snapshot,third party estimate,medium
zen-spa-tropicana,organic SEO,holds position 2 on a 720 a month term,measured,"Third party search index via marketing platform MCP, US, 2026-09-15",best keyword by volume at position 3 or better,tropicana ac spa | pos 2 | 720/mo,September 2026 snapshot,"third party estimate of position, not measured from the client property",medium
zen-spa-tropicana,organic SEO,4 keywords at position 3 or better,measured,"Third party search index via marketing platform MCP, US, 2026-09-15",keywords in top 3,4,September 2026 snapshot,third party estimate,medium
bigorange-marketing,organic SEO,clicks fell 49% year over year while average position improved from 38.7 to 26.8,measured,"Google Search Console Search Analytics API, pulled 2026-09-15",clicks / avg position,610 -> 313 clicks; 38.7 -> 26.8 position,Aug 2025 vs Aug 2026,"verified, NOT a win, do not use in sales material",weak
