client,work_type,claim,evidence_type,evidence_source,metric,metric_value,date_range,verified_status,strength
bigorange-marketing,SEO,"Ranks average position 1.09 for ""branding agency"" with 573 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 1",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,1.09,2026-01-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Ranks average position 2.86 for ""cincinnati google ads agency"" with 512 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 23.11",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,2.86,2026-01-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Ranks average position 1.0 for ""internet marketing service in cincinnati"" with 499 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 1",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,1.0,2026-01-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Ranks average position 1.65 for ""social media marketing agency"" with 497 impressions and 1 clicks; last 28 days position 2.11",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,1.65,2026-01-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Ranks average position 2.23 for ""marketing"" with 460 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 3.07",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,2.23,2026-01-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Ranks average position 1.1 for ""content marketing"" with 384 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 1",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,1.1,2026-01-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Ranks average position 1.05 for ""marketing strategy"" with 370 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 1",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,1.05,2026-01-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Ranks average position 2.64 for ""best digital marketing agency in cincinnati"" with 329 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 1",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,2.64,2026-01-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Ranks average position 2.76 for ""company marketing cincinatti"" with 320 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 1.24",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,2.76,2026-01-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Brand query ""big orange marketing msp"" average position 1.19, 1 clicks (brand navigational, not proof of SEO work)",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,1.19,2026-01-13 to 2026-09-12,measured,weak
bigorange-marketing,SEO,"Position improved for ""msp marketing"" from 31.04 to 23.98 (first vs last 8 months), impressions 15281 to 10384, clicks 7 to 2",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json ; C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winA__2025-05-13_2026-01-12__dims-query__type-web__final.json,position delta,7.06,2025-05-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Position improved for ""internet marketing company"" from 78.12 to 41.58 (first vs last 8 months), impressions 2191 to 9502, clicks 0 to 1",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json ; C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winA__2025-05-13_2026-01-12__dims-query__type-web__final.json,position delta,36.54,2025-05-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Position improved for ""builders marketing"" from 47.34 to 11.07 (first vs last 8 months), impressions 3444 to 8168, clicks 0 to 0",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json ; C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winA__2025-05-13_2026-01-12__dims-query__type-web__final.json,position delta,36.27,2025-05-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Position improved for ""manufacturing marketing agency"" from 65.27 to 38.41 (first vs last 8 months), impressions 10753 to 7143, clicks 0 to 0",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json ; C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winA__2025-05-13_2026-01-12__dims-query__type-web__final.json,position delta,26.85,2025-05-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Position improved for ""ai marketing campaigns"" from 88.81 to 27.85 (first vs last 8 months), impressions 27 to 6907, clicks 0 to 0",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json ; C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winA__2025-05-13_2026-01-12__dims-query__type-web__final.json,position delta,60.97,2025-05-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Position improved for ""marketing for landscapers"" from 63.91 to 32.79 (first vs last 8 months), impressions 1790 to 5631, clicks 0 to 0",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json ; C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winA__2025-05-13_2026-01-12__dims-query__type-web__final.json,position delta,31.12,2025-05-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Position improved for ""landscaping marketing"" from 76.76 to 22.31 (first vs last 8 months), impressions 2873 to 5579, clicks 2 to 0",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json ; C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winA__2025-05-13_2026-01-12__dims-query__type-web__final.json,position delta,54.45,2025-05-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Position improved for ""landscaping digital marketing"" from 50.95 to 34.97 (first vs last 8 months), impressions 5463 to 5441, clicks 0 to 0",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json ; C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winA__2025-05-13_2026-01-12__dims-query__type-web__final.json,position delta,15.98,2025-05-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Year over year position for ""internet marketing company"": 58.33 (Aug 2025) to 41.87 (Aug 2026), 2429 impressions in Aug 2026",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2026__2026-08-01_2026-08-31__dims-query__type-web__final.json ; C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2025__2025-08-01_2025-08-31__dims-query__type-web__final.json,position delta YoY,16.46,2025-08 vs 2026-08,measured,medium
bigorange-marketing,SEO,"Year over year position for ""manufacturing marketing agency"": 67.1 (Aug 2025) to 28.97 (Aug 2026), 1630 impressions in Aug 2026",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2026__2026-08-01_2026-08-31__dims-query__type-web__final.json ; C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2025__2025-08-01_2025-08-31__dims-query__type-web__final.json,position delta YoY,38.13,2025-08 vs 2026-08,measured,medium
bigorange-marketing,SEO,"Year over year position for ""msp marketing"": 37.23 (Aug 2025) to 28.73 (Aug 2026), 1294 impressions in Aug 2026",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2026__2026-08-01_2026-08-31__dims-query__type-web__final.json ; C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2025__2025-08-01_2025-08-31__dims-query__type-web__final.json,position delta YoY,8.51,2025-08 vs 2026-08,measured,medium
bigorange-marketing,SEO,"Year over year position for ""builders marketing"": 34.32 (Aug 2025) to 10.87 (Aug 2026), 1276 impressions in Aug 2026",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2026__2026-08-01_2026-08-31__dims-query__type-web__final.json ; C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2025__2025-08-01_2025-08-31__dims-query__type-web__final.json,position delta YoY,23.46,2025-08 vs 2026-08,measured,medium
bigorange-marketing,SEO,"Year over year position for ""marketing for landscapers"": 60.14 (Aug 2025) to 23.41 (Aug 2026), 930 impressions in Aug 2026",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2026__2026-08-01_2026-08-31__dims-query__type-web__final.json ; C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2025__2025-08-01_2025-08-31__dims-query__type-web__final.json,position delta YoY,36.72,2025-08 vs 2026-08,measured,medium
bigorange-marketing,SEO,"Top landing page by organic clicks https://bigorange.marketing/: 1169 clicks, 311645 impressions, avg position 27.73",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-page__type-web__final.json,clicks,1169,2026-01-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Top landing page by organic clicks https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/: 999 clicks, 86168 impressions, avg position 12.79",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-page__type-web__final.json,clicks,999,2026-01-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Top landing page by organic clicks https://bigorange.marketing/b2b-social-media-holidays-for-2026/: 122 clicks, 8262 impressions, avg position 8.85",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-page__type-web__final.json,clicks,122,2026-01-13 to 2026-09-12,measured,weak
revive-systems,access,Search Console property listed on the ADC identity but not readable (permission siteUnverifiedUser),measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\_sites_list.json,searchanalytics.query HTTP status,403,2025-05-13 to 2026-09-12,not-measured,weak
align-hcm,SEO,Search Console history available on this property from 2026-07-27 (48 days of final data),measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_www.alignhcm.com\full16__2025-05-13_2026-09-12__dims-date__type-web__final.json,days of data,48,2026-07-27 to 2026-09-12,measured,weak
align-hcm,SEO,Organic clicks from Google web search in August 2026 (site total),measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_www.alignhcm.com\aug2026__2026-08-01_2026-08-31__dims-none__type-web__final.json,clicks,347,2026-08-01 to 2026-08-31,measured,medium
align-hcm,SEO,"Organic impressions in August 2026 (site total), average position 16.4",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_www.alignhcm.com\aug2026__2026-08-01_2026-08-31__dims-none__type-web__final.json,impressions,62700,2026-08-01 to 2026-08-31,measured,medium
align-hcm,SEO,"Ranks average position 2.15 for ""i am a chief human resources officer. my job seniority is at the executive, vp, director, or manager level. i work at a company with 1k-10k employees or 10k+ employees. my main motivations: â€¢ a chro trying to balance employee experience with strategic transformation. â€¢ an hr leader trying to connect employee needs with business goals. my main pain points: â€¢ feel caught in the middle, trying to meet evolving employee expectations while also driving strategic organizational and workplace tech transformation. â€¢ disrupted employee experiences from delayed or inaccurate data proving hrâ€™s impact on business results beyond engagement metrics â€¢ outdated talent models unable to account for ai led transformation, shifting skills, and workforce expectations. ukg pro implementation timeline"" with 155 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 2.38",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_www.alignhcm.com\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,2.15,2026-01-13 to 2026-09-12,measured,medium
align-hcm,SEO,"Ranks average position 1.49 for ""ukg pro implementation partner"" with 146 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 1.3",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_www.alignhcm.com\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,1.49,2026-01-13 to 2026-09-12,measured,medium
align-hcm,SEO,"Ranks average position 2.66 for ""how long to implement ukg?"" with 111 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 2.29",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_www.alignhcm.com\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,2.66,2026-01-13 to 2026-09-12,measured,medium
align-hcm,SEO,"Ranks average position 1.79 for ""i am a chief human resources officer. my job seniority is at the executive, vp, director, or manager level. i work at a company with 1k-10k employees or 10k+ employees. my main motivations: â€¢ a chro trying to balance employee experience with strategic transformation. â€¢ an hr leader trying to connect employee needs with business goals. my main pain points: â€¢ feel caught in the middle, trying to meet evolving employee expectations while also driving strategic organizational and workplace tech transformation. â€¢ disrupted employee experiences from delayed or inaccurate data proving hrâ€™s impact on business results beyond engagement metrics â€¢ outdated talent models unable to account for ai led transformation, shifting skills, and workforce expectations. does ukg pro integrate with other systems?"" with 108 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 1.81",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_www.alignhcm.com\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,1.79,2026-01-13 to 2026-09-12,measured,medium
align-hcm,SEO,"Ranks average position 2.31 for ""i am a chief human resources officer. my job seniority is at the executive, vp, director, or manager level. i work at a company with 1k-10k employees or 10k+ employees. my main motivations: â€¢ a chro trying to balance employee experience with strategic transformation. â€¢ an hr leader trying to connect employee needs with business goals. my main pain points: â€¢ feel caught in the middle, trying to meet evolving employee expectations while also driving strategic organizational and workplace tech transformation. â€¢ disrupted employee experiences from delayed or inaccurate data proving hrâ€™s impact on business results beyond engagement metrics â€¢ outdated talent models unable to account for ai led transformation, shifting skills, and workforce expectations. what are the biggest mistakes companies make during hcm implementation?"" with 95 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 1.83",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_www.alignhcm.com\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,2.31,2026-01-13 to 2026-09-12,measured,medium
align-hcm,SEO,"Ranks average position 3 for ""i am a chief human resources officer. my job seniority is at the executive, vp, director, or manager level. i work at a company with 1k-10k employees or 10k+ employees. my main motivations: â€¢ a chro trying to balance employee experience with strategic transformation. â€¢ an hr leader trying to connect employee needs with business goals. my main pain points: â€¢ feel caught in the middle, trying to meet evolving employee expectations while also driving strategic organizational and workplace tech transformation. â€¢ disrupted employee experiences from delayed or inaccurate data proving hrâ€™s impact on business results beyond engagement metrics â€¢ outdated talent models unable to account for ai led transformation, shifting skills, and workforce expectations. how easy is it to integrate ukg pro with existing software?"" with 68 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 2.89",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_www.alignhcm.com\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,3,2026-01-13 to 2026-09-12,measured,medium
align-hcm,SEO,"Ranks average position 2.82 for ""evaluate the b2b buyer company adp on it services"" with 66 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 2.77",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_www.alignhcm.com\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,2.82,2026-01-13 to 2026-09-12,measured,medium
align-hcm,SEO,"Ranks average position 1.31 for ""i am a chief human resources officer. my job seniority is at the executive, vp, director, or manager level. i work at a company with 1k-10k employees or 10k+ employees. my main motivations: â€¢ a chro trying to balance employee experience with strategic transformation. â€¢ an hr leader trying to connect employee needs with business goals. my main pain points: â€¢ feel caught in the middle, trying to meet evolving employee expectations while also driving strategic organizational and workplace tech transformation. â€¢ disrupted employee experiences from delayed or inaccurate data proving hrâ€™s impact on business results beyond engagement metrics â€¢ outdated talent models unable to account for ai led transformation, shifting skills, and workforce expectations. does ukg pro support third-party integrations?"" with 64 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 1.43",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_www.alignhcm.com\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,1.31,2026-01-13 to 2026-09-12,measured,medium
align-hcm,SEO,"Ranks average position 2.56 for ""i am a chief human resources officer. my job seniority is at the executive, vp, director, or manager level. i work at a company with 1k-10k employees or 10k+ employees. my main motivations: â€¢ a chro trying to balance employee experience with strategic transformation. â€¢ an hr leader trying to connect employee needs with business goals. my main pain points: â€¢ feel caught in the middle, trying to meet evolving employee expectations while also driving strategic organizational and workplace tech transformation. â€¢ disrupted employee experiences from delayed or inaccurate data proving hrâ€™s impact on business results beyond engagement metrics â€¢ outdated talent models unable to account for ai led transformation, shifting skills, and workforce expectations. what are the hidden costs of implementing hcm software?"" with 54 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 2.73",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_www.alignhcm.com\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,2.56,2026-01-13 to 2026-09-12,measured,medium
align-hcm,SEO,"Ranks average position 1.92 for ""what are the hidden costs of implementing hcm software?"" with 53 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 1.41",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_www.alignhcm.com\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,1.92,2026-01-13 to 2026-09-12,measured,medium
