"slug","business","currentBatch","sourceClass","qaReady","mailReady","publicationState","siteUrl","sourceUrl","route","occurrenceCount","sourceBatches","sourceLocator"
"artisan-wine-and-cheese-cellars","Artisan Wine and Cheese Cellars","Current Next 20","historical-held-or-removed","hold","hold","held-template-concept-copy","","","/sites/artisan-wine-and-cheese-cellars/","1","Current Next 20","C:\Users\dillo\Documents\Codex\work\radar-next20-enhanced-20260812\02_Campaigns\AI Site Builder Outreach Engine\batches\radar-next20-20260812-141500\sites\artisan-wine-and-cheese-cellars"
"auger-manufacturing","Auger Manufacturing Specialists","phl-2026-w34","week-34-current-review","ready","hold","qa-ready","https://phl-2026-w34.netlify.app/sites/auger-manufacturing/","http://augermfgspec.com/","/sites/auger-manufacturing/","1","phl-2026-w34","git://dillonmohr8777/dillon-os/origin-pr-283/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w34/manifest.csv"
"baldwins-book-barn","Baldwin's Book Barn","Telegram 3D Next 10","historical-held-or-removed","hold","hold","removed-3d-cinematic","","","/sites/baldwins-book-barn/","1","Telegram 3D Next 10","C:\Users\dillo\Documents\Codex\work\prospect-radar-ready-80-20260812\dist\sites\baldwins-book-barn"
"ban-ban-asian-bistro","BÃ n BÃ n Asian Bistro","Cinematic builds 169-178","historical-held-or-removed","hold","hold","removed-3d-cinematic","","","/sites/ban-ban-asian-bistro/","1","Cinematic builds 169-178","C:\Users\dillo\Documents\Codex\work\prospect-radar-all-198-20260812\source-next10\02_Campaigns\AI Site Builder Outreach Engine\batches\prospect-3d-scroll-next10-2026-08-10\sites\ban-ban-asian-bistro"
"barnes-financial-group","Barnes Financial Group","phl-2026-w34","week-34-current-review","hold","hold","qa-hold","https://phl-2026-w34.netlify.app/sites/barnes-financial-group/","http://www.barnesfinancial.com/","/sites/barnes-financial-group/","1","phl-2026-w34","git://dillonmohr8777/dillon-os/origin-pr-283/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w34/manifest.csv"
"bartram-garden","Bartram's Garden","Philadelphia Batch 1 Â· restored canonical routes","historical-curated-active","ready","hold","publication-ready","https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bartram-garden/","","/sites/bartram-garden/","1","Philadelphia Batch 1 Â· restored canonical routes","C:\Users\dillo\Documents\Codex\projects\dillon-os\philly-sites\bartram-garden"
"be-balanced-hormone","Be Balanced Hormone Weight Loss Centers","phl-2026-w34","week-34-current-review","ready","hold","qa-ready","https://phl-2026-w34.netlify.app/sites/be-balanced-hormone/","https://bebalancedcenters.com/location/collegeville/","/sites/be-balanced-hormone/","1","phl-2026-w34","git://dillonmohr8777/dillon-os/origin-pr-283/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w34/manifest.csv"
"benjamin-lovell-shoes","Benjamin Lovell Shoes","phl-2026-w33","week-33-current-review","ready","hold","qa-ready","https://phl-2026-w33.netlify.app/sites/benjamin-lovell-shoes/","https://www.blshoes.com/","/sites/benjamin-lovell-shoes/","2","phl-2026-w33 | Radar Impeccable Five","git://dillonmohr8777/dillon-os/origin-pr-281/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w33/manifest.csv"
"bg-electric","BG Electric Service LLC","phl-2026-w34","week-34-current-review","hold","hold","qa-hold","https://phl-2026-w34.netlify.app/sites/bg-electric/","https://www.bgelectricservicellc.com/","/sites/bg-electric/","1","phl-2026-w34","git://dillonmohr8777/dillon-os/origin-pr-283/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w34/manifest.csv"
"big-head-transport","Big Head Transport, LLC","Cinematic builds 169-178","historical-held-or-removed","hold","hold","removed-3d-cinematic","","","/sites/big-head-transport/","1","Cinematic builds 169-178","C:\Users\dillo\Documents\Codex\work\prospect-radar-all-198-20260812\source-next10\02_Campaigns\AI Site Builder Outreach Engine\batches\prospect-3d-scroll-next10-2026-08-10\sites\big-head-transport"
"bill-frusco-plumbing-heating-cooling","Bill Frusco Plumbing, Heating & Cooling","Philadelphia Batch 4","historical-curated-active","ready","hold","publication-ready","https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bill-frusco-plumbing-heating-cooling/","","/sites/bill-frusco-plumbing-heating-cooling/","1","Philadelphia Batch 4","C:\Users\dillo\Documents\Codex\2026-08-04\monitor-the-session-learn-everything-from\batch-phl-2026-08-04-b4\sites\bill-frusco-plumbing-heating-cooling"
"borden-heating-cooling-inc","Borden Heating & Cooling, Inc.","Philadelphia Batch 4","historical-curated-active","ready","hold","publication-ready","https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/borden-heating-cooling-inc/","","/sites/borden-heating-cooling-inc/","1","Philadelphia Batch 4","C:\Users\dillo\Documents\Codex\2026-08-04\monitor-the-session-learn-everything-from\batch-phl-2026-08-04-b4\sites\borden-heating-cooling-inc"
"borsello-landscaping","Borsello Landscaping","radar-next15-20260810-050919","historical-held-or-removed","hold","hold","held-generic-generated-concept","","","/sites/borsello-landscaping/","1","radar-next15-20260810-050919","C:\Users\dillo\Documents\Codex\projects\dillon-os\02_Campaigns\AI Site Builder Outreach Engine\batches\radar-next15-20260810-050919\sites\borsello-landscaping"
"boyle-energy-heating-air-conditioning-oil-propane","Boyle Energy","radar-next15-20260809-170919","historical-held-or-removed","hold","hold","held-generic-generated-concept","","","/sites/boyle-energy-heating-air-conditioning-oil-propane/","1","radar-next15-20260809-170919","C:\Users\dillo\Documents\Codex\projects\dillon-os\02_Campaigns\AI Site Builder Outreach Engine\batches\radar-next15-20260809-170919\sites\boyle-energy-heating-air-conditioning-oil-propane"
"bpm-fitness","BPM Fitness","phl-2026-w34","week-34-current-review","hold","hold","qa-hold","https://phl-2026-w34.netlify.app/sites/bpm-fitness/","https://bpmfitnessphl.com/","/sites/bpm-fitness/","2","phl-2026-w34 | radar-next15-20260810-110919","git://dillonmohr8777/dillon-os/origin-pr-283/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w34/manifest.csv"
"brandon-electric-inc","Brandon Electric, Inc.","Philadelphia Batch 4","historical-curated-active","ready","hold","publication-ready","https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/brandon-electric-inc/","","/sites/brandon-electric-inc/","1","Philadelphia Batch 4","C:\Users\dillo\Documents\Codex\2026-08-04\monitor-the-session-learn-everything-from\batch-phl-2026-08-04-b4\sites\brandon-electric-inc"
"brandywine-auto-parts","Brandywine Auto Parts","radar-next15-20260810-110919","historical-held-or-removed","hold","hold","held-generic-generated-concept","","","/sites/brandywine-auto-parts/","1","radar-next15-20260810-110919","C:\Users\dillo\Documents\Codex\projects\dillon-os\02_Campaigns\AI Site Builder Outreach Engine\batches\radar-next15-20260810-110919\sites\brandywine-auto-parts"
"bridesburg-spine-and-injury-clinic","Bridesburg Spine and Injury Clinic","Philadelphia W31 verified 25","historical-curated-active","ready","hold","publication-ready","https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bridesburg-spine-and-injury-clinic/","","/sites/bridesburg-spine-and-injury-clinic/","2","Philadelphia Batch 2 | Philadelphia W31 verified 25","C:\Users\dillo\Documents\Codex\2026-07-29\monitor-this-session-on-cursor-i\work\pr226-site-factory\02_Campaigns\AI Site Builder Outreach Engine\batches\phl-2026-w31\sites\bridesburg-spine-and-injury-clinic"
"bryn-mawr-plumbing-heating-co-inc","Bryn Mawr Plumbing & Heating Co., Inc.","Philadelphia Batch 3","historical-held-or-removed","hold","hold","held-reconstructed-logo","","","/sites/bryn-mawr-plumbing-heating-co-inc/","1","Philadelphia Batch 3","C:\Users\dillo\Documents\Codex\2026-08-04\build-the-next-25-websites-based\batch-phl-2026-08-04-b3\sites\bryn-mawr-plumbing-heating-co-inc"
"bustleton-services","Bustleton Services, Inc","Philadelphia W31 verified 25","historical-curated-active","ready","hold","publication-ready","https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/bustleton-services/","","/sites/bustleton-services/","2","Philadelphia Batch 2 | Philadelphia W31 verified 25","C:\Users\dillo\Documents\Codex\2026-07-29\monitor-this-session-on-cursor-i\work\pr226-site-factory\02_Campaigns\AI Site Builder Outreach Engine\batches\phl-2026-w31\sites\bustleton-services"
"c-and-c-super-seal","C&C Super Seal","Radar Impeccable Five","historical-curated-active","ready","hold","publication-ready","https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/c-and-c-super-seal/","","/sites/c-and-c-super-seal/","1","Radar Impeccable Five","C:\Users\dillo\Documents\Codex\projects\dillon-os\02_Campaigns\AI Site Builder Outreach Engine\batches\radar-impeccable-five-2026-08-08\sites\c-and-c-super-seal"
"captain-car-wash","Captain Car Wash","radar-next15-20260809-170919","historical-held-or-removed","hold","hold","held-generic-generated-concept","","","/sites/captain-car-wash/","1","radar-next15-20260809-170919","C:\Users\dillo\Documents\Codex\projects\dillon-os\02_Campaigns\AI Site Builder Outreach Engine\batches\radar-next15-20260809-170919\sites\captain-car-wash"
"centrum-mechanical-services","Centrum Mechanical Services","Philadelphia Batch 4","historical-curated-active","ready","hold","publication-ready","https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/centrum-mechanical-services/","","/sites/centrum-mechanical-services/","1","Philadelphia Batch 4","C:\Users\dillo\Documents\Codex\2026-08-04\monitor-the-session-learn-everything-from\batch-phl-2026-08-04-b4\sites\centrum-mechanical-services"
"chadds-ford-animal-hospital","Chadds Ford Animal Hospital","Current Next 20","historical-held-or-removed","hold","hold","held-template-concept-copy","","","/sites/chadds-ford-animal-hospital/","1","Current Next 20","C:\Users\dillo\Documents\Codex\work\radar-next20-enhanced-20260812\02_Campaigns\AI Site Builder Outreach Engine\batches\radar-next20-20260812-141500\sites\chadds-ford-animal-hospital"
"charles-schillinger-company","Charles Schillinger Company","Philadelphia Batch 4","historical-held-or-removed","hold","hold","held-reconstructed-logo","","","/sites/charles-schillinger-company/","1","Philadelphia Batch 4","C:\Users\dillo\Documents\Codex\2026-08-04\monitor-the-session-learn-everything-from\batch-phl-2026-08-04-b4\sites\charles-schillinger-company"
"chestnut-hill-animal-hospital","Chestnut Hill Animal Hospital","phl-2026-w34","week-34-current-review","ready","hold","qa-ready","https://phl-2026-w34.netlify.app/sites/chestnut-hill-animal-hospital/","http://chestnuthillvet.com/","/sites/chestnut-hill-animal-hospital/","1","phl-2026-w34","git://dillonmohr8777/dillon-os/origin-pr-283/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w34/manifest.csv"
"choice-coating-inc","Choice Coating, Inc.","Philadelphia Batch 3","historical-held-or-removed","hold","hold","held-reconstructed-logo","","","/sites/choice-coating-inc/","1","Philadelphia Batch 3","C:\Users\dillo\Documents\Codex\2026-08-04\build-the-next-25-websites-based\batch-phl-2026-08-04-b3\sites\choice-coating-inc"
"chris-clement-plumbing-heating","Chris Clement Plumbing & Heating","Philadelphia Batch 3","historical-held-or-removed","hold","hold","held-reconstructed-logo","","","/sites/chris-clement-plumbing-heating/","1","Philadelphia Batch 3","C:\Users\dillo\Documents\Codex\2026-08-04\build-the-next-25-websites-based\batch-phl-2026-08-04-b3\sites\chris-clement-plumbing-heating"
"ciocca-pre-owned-autos","Ciocca Pre-Owned Autos","Current Next 20","historical-held-or-removed","hold","hold","held-logo-identity-unverified","","","/sites/ciocca-pre-owned-autos/","1","Current Next 20","C:\Users\dillo\Documents\Codex\work\radar-next20-enhanced-20260812\02_Campaigns\AI Site Builder Outreach Engine\batches\radar-next20-20260812-141500\sites\ciocca-pre-owned-autos"
"city-electric-supply","City Electric Supply","radar-next15-20260810-050919","historical-held-or-removed","hold","hold","held-generic-generated-concept","","","/sites/city-electric-supply/","1","radar-next15-20260810-050919","C:\Users\dillo\Documents\Codex\projects\dillon-os\02_Campaigns\AI Site Builder Outreach Engine\batches\radar-next15-20260810-050919\sites\city-electric-supply"
"cleaned-by-d-d-llc","Cleaned by D&D, LLC","Philadelphia Batch 4","historical-curated-active","ready","hold","publication-ready","https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/cleaned-by-d-d-llc/","","/sites/cleaned-by-d-d-llc/","1","Philadelphia Batch 4","C:\Users\dillo\Documents\Codex\2026-08-04\monitor-the-session-learn-everything-from\batch-phl-2026-08-04-b4\sites\cleaned-by-d-d-llc"
"c-mazzoni-brothers-inc","C. Mazzoni Brothers Inc.","Philadelphia Batch 3","historical-held-or-removed","hold","hold","held-reconstructed-logo","","","/sites/c-mazzoni-brothers-inc/","1","Philadelphia Batch 3","C:\Users\dillo\Documents\Codex\2026-08-04\build-the-next-25-websites-based\batch-phl-2026-08-04-b3\sites\c-mazzoni-brothers-inc"
"colmar-dentistry-for-kids","Colmar Dentistry For Kids","phl-2026-w34","week-34-current-review","ready","hold","qa-ready","https://phl-2026-w34.netlify.app/sites/colmar-dentistry-for-kids/","https://www.colmarkids.com/","/sites/colmar-dentistry-for-kids/","1","phl-2026-w34","git://dillonmohr8777/dillon-os/origin-pr-283/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w34/manifest.csv"
"commercial-wallcovering","Commercial Wallcovering","Philadelphia Batch 3","historical-held-or-removed","hold","hold","held-reconstructed-logo","","","/sites/commercial-wallcovering/","1","Philadelphia Batch 3","C:\Users\dillo\Documents\Codex\2026-08-04\build-the-next-25-websites-based\batch-phl-2026-08-04-b3\sites\commercial-wallcovering"
"compucraft-fabricators-inc","CompuCraft Fabricators, Inc.","Philadelphia Batch 4","historical-held-or-removed","hold","hold","held-no-proper-logo","","","/sites/compucraft-fabricators-inc/","1","Philadelphia Batch 4","C:\Users\dillo\Documents\Codex\2026-08-04\monitor-the-session-learn-everything-from\batch-phl-2026-08-04-b4\sites\compucraft-fabricators-inc"
"county-line-veterinary-hospital","County Line Veterinary Hospital","phl-2026-w34","week-34-current-review","ready","hold","qa-ready","https://phl-2026-w34.netlify.app/sites/county-line-veterinary-hospital/","https://countylineveterinary.com/","/sites/county-line-veterinary-hospital/","1","phl-2026-w34","git://dillonmohr8777/dillon-os/origin-pr-283/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w34/manifest.csv"
"custom-it-solutions","Custom IT Solutions","radar-next15-20260809-230919","historical-held-or-removed","hold","hold","held-generic-generated-concept","","","/sites/custom-it-solutions/","1","radar-next15-20260809-230919","C:\Users\dillo\Documents\Codex\projects\dillon-os\02_Campaigns\AI Site Builder Outreach Engine\batches\radar-next15-20260809-230919\sites\custom-it-solutions"
"dan-ferry-plumbing-inc","Dan Ferry Plumbing, Inc.","Philadelphia Batch 3","historical-held-or-removed","hold","hold","held-reconstructed-logo","","","/sites/dan-ferry-plumbing-inc/","1","Philadelphia Batch 3","C:\Users\dillo\Documents\Codex\2026-08-04\build-the-next-25-websites-based\batch-phl-2026-08-04-b3\sites\dan-ferry-plumbing-inc"
"davidson-fabricating","Davidson Fabricating","phl-2026-w33","week-33-current-review","ready","hold","qa-ready","https://phl-2026-w33.netlify.app/sites/davidson-fabricating/","https://davidsonfab.com/","/sites/davidson-fabricating/","1","phl-2026-w33","git://dillonmohr8777/dillon-os/origin-pr-281/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w33/manifest.csv"
"del-chevrolet","Del Chevrolet","Current Next 20","historical-held-or-removed","hold","hold","held-template-concept-copy","","","/sites/del-chevrolet/","1","Current Next 20","C:\Users\dillo\Documents\Codex\work\radar-next20-enhanced-20260812\02_Campaigns\AI Site Builder Outreach Engine\batches\radar-next20-20260812-141500\sites\del-chevrolet"
"dentistry-for-life","Dentistry for Life","Telegram 3D Next 10","historical-held-or-removed","hold","hold","removed-3d-cinematic","","","/sites/dentistry-for-life/","1","Telegram 3D Next 10","C:\Users\dillo\Documents\Codex\work\prospect-radar-ready-80-20260812\dist\sites\dentistry-for-life"
"dependable-concrete","Dependable Concrete Contractor LLC","Philadelphia Batch 2","historical-held-or-removed","hold","hold","held-archive-duplicate","","","/sites/dependable-concrete--archive-2/","2","Philadelphia Batch 2 | Philadelphia W31 verified 25","C:\Users\dillo\Documents\Codex\2026-07-31\push-to-netlify-4\dillon-os-pr242\philly-sites-b2\dependable-concrete"
"dibruno-bros","Di Bruno Bros. Italian Market","Philadelphia Batch 1 Â· restored canonical routes","historical-curated-active","ready","hold","publication-ready","https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dibruno-bros/","","/sites/dibruno-bros/","1","Philadelphia Batch 1 Â· restored canonical routes","C:\Users\dillo\Documents\Codex\projects\dillon-os\philly-sites\dibruno-bros"
"dinse-dental-care","Dinse Dental Care","Current Next 20","historical-held-or-removed","hold","hold","held-template-concept-copy","","","/sites/dinse-dental-care/","1","Current Next 20","C:\Users\dillo\Documents\Codex\work\radar-next20-enhanced-20260812\02_Campaigns\AI Site Builder Outreach Engine\batches\radar-next20-20260812-141500\sites\dinse-dental-care"
"dreammaker-bath-kitchen","DreamMaker Bath & Kitchen","phl-2026-w34","week-34-current-review","hold","hold","qa-hold","https://phl-2026-w34.netlify.app/sites/dreammaker-bath-kitchen/","https://www.dreammaker-remodel.com/chester-county/","/sites/dreammaker-bath-kitchen/","1","phl-2026-w34","git://dillonmohr8777/dillon-os/origin-pr-283/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w34/manifest.csv"
"dream-team-hvac","Dream Team Home Services","phl-2026-w33","week-33-current-review","ready","hold","qa-ready","https://phl-2026-w33.netlify.app/sites/dream-team-hvac/","https://dreamteampa.com/","/sites/dream-team-hvac/","1","phl-2026-w33","git://dillonmohr8777/dillon-os/origin-pr-281/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w33/manifest.csv"
"dr-weiss-s-office","Dr. Weiss's Office","radar-next15-20260809-170919","historical-held-or-removed","hold","hold","held-generic-generated-concept","","","/sites/dr-weiss-s-office/","1","radar-next15-20260809-170919","C:\Users\dillo\Documents\Codex\projects\dillon-os\02_Campaigns\AI Site Builder Outreach Engine\batches\radar-next15-20260809-170919\sites\dr-weiss-s-office"
"dunryte-electric-inc","Dunryte Electric, Inc.","Philadelphia Batch 4","historical-curated-active","ready","hold","publication-ready","https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dunryte-electric-inc/","","/sites/dunryte-electric-inc/","1","Philadelphia Batch 4","C:\Users\dillo\Documents\Codex\2026-08-04\monitor-the-session-learn-everything-from\batch-phl-2026-08-04-b4\sites\dunryte-electric-inc"
"dutton-road-veterinary-clinic","Dutton Road Veterinary Clinic","phl-2026-w33","week-33-current-review","ready","hold","qa-ready","https://phl-2026-w33.netlify.app/sites/dutton-road-veterinary-clinic/","http://duttonroadvetclinic.com/","/sites/dutton-road-veterinary-clinic/","2","Cinematic builds 169-178 | phl-2026-w33","git://dillonmohr8777/dillon-os/origin-pr-281/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w33/manifest.csv"
"e-and-e-cleaning","E & E cleaning services","Philadelphia W31 verified 25","historical-curated-active","ready","hold","publication-ready","https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/e-and-e-cleaning/","","/sites/e-and-e-cleaning/","2","Philadelphia Batch 2 | Philadelphia W31 verified 25","C:\Users\dillo\Documents\Codex\2026-07-29\monitor-this-session-on-cursor-i\work\pr226-site-factory\02_Campaigns\AI Site Builder Outreach Engine\batches\phl-2026-w31\sites\e-and-e-cleaning"
"eastern-dragon","Eastern Dragon","phl-2026-w33","week-33-current-review","ready","hold","qa-ready","https://phl-2026-w33.netlify.app/sites/eastern-dragon/","http://easterndragonfood.com/","/sites/eastern-dragon/","1","phl-2026-w33","git://dillonmohr8777/dillon-os/origin-pr-281/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w33/manifest.csv"
"eastern-state","Eastern State Penitentiary","Philadelphia Batch 1 Â· restored canonical routes","historical-curated-active","ready","hold","publication-ready","https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/eastern-state/","","/sites/eastern-state/","1","Philadelphia Batch 1 Â· restored canonical routes","C:\Users\dillo\Documents\Codex\projects\dillon-os\philly-sites\eastern-state"
"easy-auto-tag-insurance","Easy Auto Tag & Insurance","phl-2026-w34","week-34-current-review","hold","hold","qa-hold","https://phl-2026-w34.netlify.app/sites/easy-auto-tag-insurance/","http://www.easyautotag.com/","/sites/easy-auto-tag-insurance/","2","phl-2026-w34 | radar-next15-20260809-170919","git://dillonmohr8777/dillon-os/origin-pr-283/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w34/manifest.csv"
"eisenberg-rothweiler","Eisenberg, Rothweiler, Winkler, Eisenberg & Jeck","phl-2026-w34","week-34-current-review","ready","hold","qa-ready","https://phl-2026-w34.netlify.app/sites/eisenberg-rothweiler/","https://www.erlegal.com/","/sites/eisenberg-rothweiler/","1","phl-2026-w34","git://dillonmohr8777/dillon-os/origin-pr-283/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w34/manifest.csv"
"electric-direct","Electric Direct","phl-2026-w33","week-33-current-review","ready","hold","qa-ready","https://phl-2026-w33.netlify.app/sites/electric-direct/","https://www.electric-direct.net/","/sites/electric-direct/","1","phl-2026-w33","git://dillonmohr8777/dillon-os/origin-pr-281/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w33/manifest.csv"
"elite-auto-parts","Elite Auto Parts","Cinematic builds 169-178","historical-held-or-removed","hold","hold","removed-3d-cinematic","","","/sites/elite-auto-parts/","1","Cinematic builds 169-178","C:\Users\dillo\Documents\Codex\work\prospect-radar-all-198-20260812\source-next10\02_Campaigns\AI Site Builder Outreach Engine\batches\prospect-3d-scroll-next10-2026-08-10\sites\elite-auto-parts"
"elverson-supply","Elverson Supply","phl-2026-w33","week-33-current-review","ready","hold","qa-ready","https://phl-2026-w33.netlify.app/sites/elverson-supply/","https://elversonsupply.net/","/sites/elverson-supply/","1","phl-2026-w33","git://dillonmohr8777/dillon-os/origin-pr-281/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w33/manifest.csv"
