"Priority","Topic Cluster","Proposed Query","Semrush Intent","Funnel Stage","Recommended Asset","US Volume","KD %","CPC USD","Validation Status","Why Selected","Decision","Moz SERP Date","Moz Desktop Rank","Moz Desktop Change","Moz Desktop URL","Moz Volume Range","Moz Mobile Rank","Moz Mobile Change","Moz Mobile URL","Evidence Note"
"16","Automation","home builder marketing automation","Informational","Decision","Automation guide","170","5","0.00","Live Semrush US desktop 2026-08-04","Very low difficulty and strong operational differentiation","Build in first 90 days","2026-08-14","","","","0-10","","","","Tracked by Moz but not ranking on the latest date; Semrush remains the demand and opportunity source."
"17","Social","social media marketing for home builders","Informational","Awareness","Supporting guide","170","8","0.00","Live Semrush US desktop 2026-08-04","Very easy relevant channel term for the broader content system","Build in first 90 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"18","Website conversion","best home builder websites","Commercial","Consideration","Gallery and scoring guide","170","15","3.12","Live Semrush US desktop 2026-08-04","Commercial research intent with visual proof potential","Build in first 60 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"19","Website conversion","custom home builder websites","Informational","Consideration","Gallery and service support","140","17","3.16","Live Semrush US desktop 2026-08-04","Specific website term closely aligned to target market","Build in first 60 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"20","Automation","marketing automation for home builders","Informational","Decision","Guide","140","0","0.00","Live Semrush US desktop 2026-08-04","Zero reported difficulty and useful conversion operations angle","Build in first 90 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"21","Service positioning","home builder marketing solutions","Informational","Decision","Solution overview","210","5","11.14","Live Semrush US desktop 2026-08-04","Very low difficulty with strong CPC and direct solution intent","Build in first 60 days","2026-08-14","","","","11-50","","","","Tracked by Moz but not ranking on the latest date; Semrush remains the demand and opportunity source."
"22","Agency category","home builder digital marketing agency","Informational","Decision","Service page","210","15","0.00","Live Semrush US desktop 2026-08-04","Builder specific agency intent with favorable difficulty","Build in first 90 days","2026-08-14","2","-1","https://bigorange.marketing/marketing-agency-for-builders/","0-10","2","-1","https://bigorange.marketing/marketing-agency-for-builders/","Moz supplies current rank and landing-page evidence; Semrush remains the source for US volume, difficulty, intent, and build priority."
"23","Strategy","new home builder marketing","Informational","Consideration","Supporting guide","320","21","0.00","Live Semrush US desktop 2026-08-04","Meaningful related demand that can support the main hub","Build in first 90 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"24","Agency category","home builder marketing company","Commercial","Decision","Service page","320","18","11.14","Live Semrush US desktop 2026-08-04","Strong commercial intent and high CPC within the builder niche","Build in first 90 days","2026-08-14","2","2","https://bigorange.marketing/marketing-agency-for-builders/","0-10","2","0","https://bigorange.marketing/marketing-agency-for-builders/","Moz supplies current rank and landing-page evidence; Semrush remains the source for US volume, difficulty, intent, and build priority."
"25","Agency category","home builder marketing agency","Commercial","Decision","Service page","720","31","14.11","Live Semrush US desktop 2026-08-04","Highest builder agency demand and CPC but more competitive than the quick wins","Build after authority foundation","2026-08-14","1","1","https://bigorange.marketing/marketing-agency-for-builders/","51-100","2","0","https://bigorange.marketing/marketing-agency-for-builders/","Moz supplies current rank and landing-page evidence; Semrush remains the source for US volume, difficulty, intent, and build priority."
"26","Digital strategy","digital marketing for custom home builder","Informational","Consideration","Supporting article","110","10","3.60","Live Semrush US desktop 2026-08-04","Specific custom builder variation with very easy difficulty","Build in first 60 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"27","CRM and nurture","home builder CRM marketing","Informational plus Commercial","Decision","CRM guide","110","6","10.20","Live Semrush US desktop 2026-08-04","Very low difficulty high CPC topic tied to measurable lead handling","Build in first 90 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"28","Website conversion","home builder website examples","Informational plus Commercial","Consideration","Example gallery","110","6","0.00","Live Semrush US desktop 2026-08-04","Very low difficulty proof asset with high visual value","Build in first 60 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"29","Service positioning","home builder marketing services","Informational","Decision","Service page support","70","13","0.00","Live Semrush US desktop 2026-08-04","Relevant lower volume service variation","Build in first 90 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"30","Social","home builder social media marketing","Informational","Awareness","Supporting article","70","6","0.33","Live Semrush US desktop 2026-08-04","Very low difficulty close variation for social topic coverage","Map to social guide","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"31","Website conversion","home builder website services","Commercial","Decision","Service page","90","15","3.64","Live Semrush US desktop 2026-08-04","Commercial website service intent with favorable difficulty","Build in first 90 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"32","Agency category","custom home builder marketing agency","Informational","Decision","Service page","90","21","9.13","Live Semrush US desktop 2026-08-04","Exact niche agency variation with strong CPC","Build after pillar launch","2026-08-14","13","-2","https://bigorange.marketing/marketing-agency-for-builders/","0-10","13","-2","https://bigorange.marketing/marketing-agency-for-builders/","Moz supplies current rank and landing-page evidence; Semrush remains the source for US volume, difficulty, intent, and build priority."
"33","SEO and visibility","SEO for custom home builders","Unclassified","Consideration","Subpillar variation","90","Not available","0.00","Semrush volume current but KD refresh unavailable 2026-08-04","Highly specific service variation retained as secondary target","Map to SEO subpillar","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"34","Website conversion","home builder website optimization","Informational","Consideration","Technical conversion article","40","0","0.07","Live Semrush US desktop 2026-08-04","Zero reported difficulty and strong fit for technical plus conversion proof","Build now","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"35","Content","home builder content marketing","Informational","Consideration","Subpillar article","40","8","0.00","Live Semrush US desktop 2026-08-04","Very easy builder specific content category","Build in first 60 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"36","Paid media","PPC for home builders","Informational","Decision","Service support page","40","1","0.00","Live Semrush US desktop 2026-08-04","Very low difficulty but outside the narrow organic authority wedge","Backlog","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"37","Website conversion","custom home builder website","Commercial","Decision","Service page support","40","34","3.16","Live Semrush US desktop 2026-08-04","Exact niche commercial phrase but meaning may mix builder and buyer intent","Validate SERP then build","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"38","Consulting","home builder marketing consulting","Informational","Decision","Consulting page","40","7","0.00","Live Semrush US desktop 2026-08-04","Very low difficulty consulting intent","Backlog","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"39","Agency category","home builder marketing firm","Commercial","Decision","Service page variation","50","16","0.00","Live Semrush US desktop 2026-08-04","Relevant commercial variation for service page language","Map to agency page","2026-08-14","15","-2","https://bigorange.marketing/marketing-agency-for-builders/","0-10","14","-1","https://bigorange.marketing/marketing-agency-for-builders/","Moz supplies current rank and landing-page evidence; Semrush remains the source for US volume, difficulty, intent, and build priority."
"40","Strategy","home builder marketing tips","Informational","Awareness","Supporting article","50","12","0.00","Live Semrush US desktop 2026-08-04","Easy top of funnel topic for FAQ and refresh modules","Backlog","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"41","Strategy","home builder marketing plans","Informational","Awareness","Guide variation","50","8","0.00","Live Semrush US desktop 2026-08-04","Easy plural variation for the marketing plan asset","Map to plan guide","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"42","Systems","home builder marketing system","Informational","Consideration","Framework guide","50","12","0.00","Live Semrush US desktop 2026-08-04","Supports a distinctive BigOrange operating model","Backlog","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"43","Digital strategy","online home builder marketing","Informational","Consideration","Supporting article","50","22","0.00","Live Semrush US desktop 2026-08-04","Relevant older phrasing with moderate difficulty","Backlog","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"44","Website conversion","home builder website templates","Commercial","Consideration","Template evaluation guide","70","16","5.61","Live Semrush US desktop 2026-08-04","Commercial research term with strong CPC and website strategy fit","Build in first 90 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"45","Website conversion","home builder website template","Commercial","Consideration","Template evaluation guide","50","5","5.61","Live Semrush US desktop 2026-08-04","Very low difficulty singular variation with commercial value","Map to template guide","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"46","Website conversion","home building website templates","Commercial","Consideration","Template guide variation","30","11","8.92","Live Semrush US desktop 2026-08-04","Easy close variation with high CPC","Map to template guide","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"47","Website conversion","website builder for home builder","Informational","Consideration","Platform evaluation article","50","17","0.00","Live Semrush US desktop 2026-08-04","Platform evaluation phrasing relevant to website buyers","Backlog","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"48","Website conversion","home builder website developer","Informational","Decision","Service page variation","140","22","0.00","Live Semrush US desktop 2026-08-04","Meaningful service demand and direct fit for development capability","Build in first 90 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"49","Website strategy","custom home builder website classification criteria","Informational","Awareness","Evaluation framework","40","7","0.00","Live Semrush US desktop 2026-08-04","Unusual but easy criteria query suited to an original scoring framework","Validate SERP before build","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"50","SEO and visibility","recommended phrases for home builder website SEO","Informational","Awareness","SEO checklist","40","0","0.00","Live Semrush US desktop 2026-08-04","Zero reported difficulty and natural downloadable checklist topic","Build now","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"51","Sales alignment","home builder sales and marketing","Transactional","Consideration","Sales and marketing alignment guide","70","15","0.00","Live Semrush US desktop 2026-08-04","Bridges marketing execution to the real sales process","Build in first 90 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"52","Strategy","home builder marketing strategy","Informational","Consideration","Strategy guide","170","17","0.00","Live Semrush US desktop 2026-08-04","Relevant singular variation for the strategy cluster","Map to strategy guide","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"53","Strategy","home builder marketing strategies","Informational","Consideration","Strategy guide","170","23","0.00","Live Semrush US desktop 2026-08-04","Relevant plural variation with meaningful demand","Map to strategy guide","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"54","Agency category","home builder marketing companies","Informational","Decision","Comparison page","140","8","14.11","Live Semrush US desktop 2026-08-04","Very easy high CPC agency comparison variation","Build after proof assets","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"55","Agency category","digital home builder marketing agency","Informational","Decision","Service page variation","110","10","14.11","Live Semrush US desktop 2026-08-04","Very easy high CPC phrase for service page coverage","Map to agency page","2026-08-14","1","0","https://bigorange.marketing/marketing-agency-for-builders/","51-100","3","-2","https://bigorange.marketing/marketing-agency-for-builders/","Moz supplies current rank and landing-page evidence; Semrush remains the source for US volume, difficulty, intent, and build priority."
"56","Research","home builder market research","Informational","Awareness","Market research framework","40","18","0.00","Live Semrush US desktop 2026-08-04","Potential thought leadership angle but requires careful industry versus marketing intent review","Validate SERP before build","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"57","Content","content marketing for home builders","Unclassified","Consideration","Subpillar variation","10","Not available","0.00","Semrush volume current but KD refresh unavailable 2026-08-04","Exact category variation retained for semantic coverage","Map to content subpillar","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"58","Content","home builder blog","Unclassified","Awareness","Supporting article","30","Not available","0.00","Semrush volume current but KD refresh unavailable 2026-08-04","Existing calendar target with current Semrush volume confirmation","Build now","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"59","Generic agency","digital marketing agency","Commercial","Decision","None","74000","87","8.45","Live Semrush US desktop 2026-08-04","Far too broad and difficult for this focused authority pilot","Reject for pilot","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"60","Generic service","SEO agency","Commercial","Decision","None","60500","50","19.04","Live Semrush US desktop 2026-08-04","Too broad and not builder specific despite high commercial value","Reject for pilot","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"61","Consumer query","custom home builders near me","Transactional","Decision","None","9900","68","3.76","Live Semrush US desktop 2026-08-04","Searcher wants to hire a builder rather than a marketing partner","Reject","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"62","Consumer query","how much does a custom home cost","Informational","Awareness","None","70","1","1.98","Live Semrush US desktop 2026-08-04","Homeowner research intent does not align with BigOrange agency services","Reject","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
